,accuracy,average_loss,cell0_size,cell1_size,cell2_size,cell3_size,cell4_size,cell5_size,cell6_size,conv,degree_of_convexity,global_step,loss,num_epochs,num_labels,temp
66,0.0578084550798,2.11345076561,933,2223,1578,536,2047,709,1235,0.25,0.192597867536,2188,4898.97900391,6,7,1.0
67,0.078947365284,4.3501124382,1426,342,780,129,3791,730,2063,0.5,0.307849324766,3732,10083.5605469,6,7,1.0
68,0.0595340803266,5.02636575699,1848,4703,665,387,129,418,1111,0.75,0.458944571102,4630,11651.1162109,6,7,1.0
69,0.589555442333,1.5989522934,139,5131,1892,408,230,180,1281,1.0,0.66187849101,5051,3704.77246094,6,7,1.0
70,0.163503021002,2.571372509,1133,1302,1460,1362,876,983,2145,0.0,0.190924941239,2111,5960.44140625,6,7,0.1
71,0.211389124393,5.20908403397,1002,2403,1576,593,564,1153,1970,0.25,0.210164611757,2366,12074.65625,6,7,0.1
72,0.179818883538,4.6332321167,169,213,4240,537,1645,1609,848,0.5,0.328618140658,4174,10744.4648438,6,7,0.1
73,0.0776531472802,5.41794538498,720,74,1386,183,112,6461,325,0.75,0.565046583266,6360,12558.7978516,6,7,0.1
74,0.0647388845682,6.08187103271,395,1914,342,559,11,5976,64,1.0,0.708458200112,5883,14091.6953125,6,7,0.1
75,0.503236949444,2.48004293442,227,859,1810,641,3388,1632,704,0.0,0.651953676342,3336,5746.25927734,6,7,0.01
76,0.554118156433,1.35492098331,2029,610,1174,918,652,2681,1197,0.25,0.725732479385,2639,3142.06176758,6,7,0.01
77,0.351164788008,3.4265794754,805,412,4727,779,891,1145,502,0.5,0.744881034095,4653,7942.81103516,6,7,0.01
78,0.556754410267,2.17368745804,1821,514,2812,1024,1380,1338,372,0.75,0.831259360187,2769,5036.43408203,6,7,0.01
79,0.510785162449,1.82857978344,2812,1056,481,2541,14,180,2177,1.0,0.949834624155,2769,4238.64794922,6,7,0.01
80,0.601811885834,1.62413191795,1009,2211,1417,760,542,944,2378,0.0,0.72745986714,2341,3764.73779297,6,7,0.001
